log,fullmove,ply,side,fen,move,rank,score_cp,gap_cp,candidate_move,reference_move,round,legal_moves
sprt_game_1,21,33,Black,rn3rk1/5ppp/1pb1pb2/1N6/2P2P2/P1N5/1P2BP1P/2RR2K1 b - - 2 21,g8h8,10,-143,45,g7g5,f8c8,4,32
sprt_game_1,21,33,Black,rn3rk1/5ppp/1pb1pb2/1N6/2P2P2/P1N5/1P2BP1P/2RR2K1 b - - 2 21,f6d8,11,-143,45,g7g5,f8c8,4,32
sprt_game_1,21,33,Black,rn3rk1/5ppp/1pb1pb2/1N6/2P2P2/P1N5/1P2BP1P/2RR2K1 b - - 2 21,c6b7,12,-143,45,g7g5,f8c8,4,32
sprt_game_1,21,33,Black,rn3rk1/5ppp/1pb1pb2/1N6/2P2P2/P1N5/1P2BP1P/2RR2K1 b - - 2 21,b8a6,13,-147,49,g7g5,f8c8,4,32
sprt_game_1,21,33,Black,rn3rk1/5ppp/1pb1pb2/1N6/2P2P2/P1N5/1P2BP1P/2RR2K1 b - - 2 21,h7h5,14,-150,52,g7g5,f8c8,4,32
sprt_game_1,21,33,Black,rn3rk1/5ppp/1pb1pb2/1N6/2P2P2/P1N5/1P2BP1P/2RR2K1 b - - 2 21,a8a5,15,-160,62,g7g5,f8c8,4,32
sprt_game_1,21,33,Black,rn3rk1/5ppp/1pb1pb2/1N6/2P2P2/P1N5/1P2BP1P/2RR2K1 b - - 2 21,c6b5,16,-166,68,g7g5,f8c8,4,32
sprt_game_1,21,33,Black,rn3rk1/5ppp/1pb1pb2/1N6/2P2P2/P1N5/1P2BP1P/2RR2K1 b - - 2 21,b8d7,17,-169,71,g7g5,f8c8,4,32
sprt_game_1,21,33,Black,rn3rk1/5ppp/1pb1pb2/1N6/2P2P2/P1N5/1P2BP1P/2RR2K1 b - - 2 21,c6e8,18,-200,102,g7g5,f8c8,4,32
sprt_game_1,21,33,Black,rn3rk1/5ppp/1pb1pb2/1N6/2P2P2/P1N5/1P2BP1P/2RR2K1 b - - 2 21,e6e5,19,-236,138,g7g5,f8c8,4,32
sprt_game_1,21,33,Black,rn3rk1/5ppp/1pb1pb2/1N6/2P2P2/P1N5/1P2BP1P/2RR2K1 b - - 2 21,f6c3,20,-256,158,g7g5,f8c8,4,32
sprt_game_1,21,33,Black,rn3rk1/5ppp/1pb1pb2/1N6/2P2P2/P1N5/1P2BP1P/2RR2K1 b - - 2 21,f8e8,21,-373,275,g7g5,f8c8,4,32
sprt_game_1,21,33,Black,rn3rk1/5ppp/1pb1pb2/1N6/2P2P2/P1N5/1P2BP1P/2RR2K1 b - - 2 21,c6e4,22,-477,379,g7g5,f8c8,4,32
sprt_game_1,21,33,Black,rn3rk1/5ppp/1pb1pb2/1N6/2P2P2/P1N5/1P2BP1P/2RR2K1 b - - 2 21,a8a3,23,-495,397,g7g5,f8c8,4,32
sprt_game_1,21,33,Black,rn3rk1/5ppp/1pb1pb2/1N6/2P2P2/P1N5/1P2BP1P/2RR2K1 b - - 2 21,f6e5,24,-523,425,g7g5,f8c8,4,32
