log,fullmove,ply,side,fen,move,rank,score_cp,gap_cp,candidate_move,reference_move,round,legal_moves
sprt_game_1,10,12,White,r1bqkbnr/1p3p2/p1n1p3/2p3p1/3pP2p/3P1Q2/PPPNBPPP/R1B1K1NR w KQkq - 0 10,e2f1,3,-140,38,e2d1,g2g3,3,29
sprt_game_1,10,12,White,r1bqkbnr/1p3p2/p1n1p3/2p3p1/3pP2p/3P1Q2/PPPNBPPP/R1B1K1NR w KQkq - 0 10,a2a3,4,-153,51,e2d1,g2g3,3,29
sprt_game_1,10,12,White,r1bqkbnr/1p3p2/p1n1p3/2p3p1/3pP2p/3P1Q2/PPPNBPPP/R1B1K1NR w KQkq - 0 10,a2a4,5,-163,61,e2d1,g2g3,3,29
sprt_game_1,10,12,White,r1bqkbnr/1p3p2/p1n1p3/2p3p1/3pP2p/3P1Q2/PPPNBPPP/R1B1K1NR w KQkq - 0 10,b2b3,6,-169,67,e2d1,g2g3,3,29
sprt_game_1,10,12,White,r1bqkbnr/1p3p2/p1n1p3/2p3p1/3pP2p/3P1Q2/PPPNBPPP/R1B1K1NR w KQkq - 0 10,e1d1,7,-172,70,e2d1,g2g3,3,29
sprt_game_1,10,12,White,r1bqkbnr/1p3p2/p1n1p3/2p3p1/3pP2p/3P1Q2/PPPNBPPP/R1B1K1NR w KQkq - 0 10,d2b3,8,-175,73,e2d1,g2g3,3,29
sprt_game_1,10,12,White,r1bqkbnr/1p3p2/p1n1p3/2p3p1/3pP2p/3P1Q2/PPPNBPPP/R1B1K1NR w KQkq - 0 10,g2g4,9,-175,73,e2d1,g2g3,3,29
sprt_game_1,10,12,White,r1bqkbnr/1p3p2/p1n1p3/2p3p1/3pP2p/3P1Q2/PPPNBPPP/R1B1K1NR w KQkq - 0 10,f3h3,10,-188,86,e2d1,g2g3,3,29
sprt_game_1,10,12,White,r1bqkbnr/1p3p2/p1n1p3/2p3p1/3pP2p/3P1Q2/PPPNBPPP/R1B1K1NR w KQkq - 0 10,c2c4,11,-193,91,e2d1,g2g3,3,29
sprt_game_1,10,12,White,r1bqkbnr/1p3p2/p1n1p3/2p3p1/3pP2p/3P1Q2/PPPNBPPP/R1B1K1NR w KQkq - 0 10,a1b1,12,-197,95,e2d1,g2g3,3,29
sprt_game_1,10,12,White,r1bqkbnr/1p3p2/p1n1p3/2p3p1/3pP2p/3P1Q2/PPPNBPPP/R1B1K1NR w KQkq - 0 10,d2c4,13,-216,114,e2d1,g2g3,3,29
sprt_game_1,10,12,White,r1bqkbnr/1p3p2/p1n1p3/2p3p1/3pP2p/3P1Q2/PPPNBPPP/R1B1K1NR w KQkq - 0 10,d2b1,14,-227,125,e2d1,g2g3,3,29
sprt_game_1,10,12,White,r1bqkbnr/1p3p2/p1n1p3/2p3p1/3pP2p/3P1Q2/PPPNBPPP/R1B1K1NR w KQkq - 0 10,d2f1,15,-228,126,e2d1,g2g3,3,29
sprt_game_1,10,12,White,r1bqkbnr/1p3p2/p1n1p3/2p3p1/3pP2p/3P1Q2/PPPNBPPP/R1B1K1NR w KQkq - 0 10,b2b4,16,-246,144,e2d1,g2g3,3,29
sprt_game_1,10,12,White,r1bqkbnr/1p3p2/p1n1p3/2p3p1/3pP2p/3P1Q2/PPPNBPPP/R1B1K1NR w KQkq - 0 10,e1f1,17,-253,151,e2d1,g2g3,3,29
sprt_game_1,10,12,White,r1bqkbnr/1p3p2/p1n1p3/2p3p1/3pP2p/3P1Q2/PPPNBPPP/R1B1K1NR w KQkq - 0 10,e4e5,18,-267,165,e2d1,g2g3,3,29
sprt_game_1,10,12,White,r1bqkbnr/1p3p2/p1n1p3/2p3p1/3pP2p/3P1Q2/PPPNBPPP/R1B1K1NR w KQkq - 0 10,c2c3,19,-358,256,e2d1,g2g3,3,29
sprt_game_1,10,12,White,r1bqkbnr/1p3p2/p1n1p3/2p3p1/3pP2p/3P1Q2/PPPNBPPP/R1B1K1NR w KQkq - 0 10,g1h3,20,-446,344,e2d1,g2g3,3,29
sprt_game_1,10,12,White,r1bqkbnr/1p3p2/p1n1p3/2p3p1/3pP2p/3P1Q2/PPPNBPPP/R1B1K1NR w KQkq - 0 10,h2h3,21,-458,356,e2d1,g2g3,3,29
sprt_game_1,10,12,White,r1bqkbnr/1p3p2/p1n1p3/2p3p1/3pP2p/3P1Q2/PPPNBPPP/R1B1K1NR w KQkq - 0 10,f3h5,22,-498,396,e2d1,g2g3,3,29
sprt_game_1,10,12,White,r1bqkbnr/1p3p2/p1n1p3/2p3p1/3pP2p/3P1Q2/PPPNBPPP/R1B1K1NR w KQkq - 0 10,f3g4,23,-502,400,e2d1,g2g3,3,29
sprt_game_1,10,12,White,r1bqkbnr/1p3p2/p1n1p3/2p3p1/3pP2p/3P1Q2/PPPNBPPP/R1B1K1NR w KQkq - 0 10,f3f7,24,-579,477,e2d1,g2g3,3,29
sprt_game_1,10,12,White,r1bqkbnr/1p3p2/p1n1p3/2p3p1/3pP2p/3P1Q2/PPPNBPPP/R1B1K1NR w KQkq - 0 10,f3g3,25,-609,507,e2d1,g2g3,3,29
sprt_game_1,10,12,White,r1bqkbnr/1p3p2/p1n1p3/2p3p1/3pP2p/3P1Q2/PPPNBPPP/R1B1K1NR w KQkq - 0 10,f3f4,26,-683,581,e2d1,g2g3,3,29
sprt_game_1,10,12,White,r1bqkbnr/1p3p2/p1n1p3/2p3p1/3pP2p/3P1Q2/PPPNBPPP/R1B1K1NR w KQkq - 0 10,f3f6,27,-696,594,e2d1,g2g3,3,29
sprt_game_1,10,12,White,r1bqkbnr/1p3p2/p1n1p3/2p3p1/3pP2p/3P1Q2/PPPNBPPP/R1B1K1NR w KQkq - 0 10,f3e3,28,-701,599,e2d1,g2g3,3,29
sprt_game_1,10,12,White,r1bqkbnr/1p3p2/p1n1p3/2p3p1/3pP2p/3P1Q2/PPPNBPPP/R1B1K1NR w KQkq - 0 10,f3f5,29,-731,629,e2d1,g2g3,3,29
sprt_game_1,24,40,White,7r/1p1nkp2/p7/4n3/3pP1pr/3P3P/PP2BK2/2R3NR w - - 0 24,f2g3,1,-181,0,f2g3,f2g2,3,27
sprt_game_1,24,40,White,7r/1p1nkp2/p7/4n3/3pP1pr/3P3P/PP2BK2/2R3NR w - - 0 24,f2g2,2,-189,8,f2g3,f2g2,3,27
sprt_game_1,24,40,White,7r/1p1nkp2/p7/4n3/3pP1pr/3P3P/PP2BK2/2R3NR w - - 0 24,c1c7,3,-207,26,f2g3,f2g2,3,27
sprt_game_1,24,40,White,7r/1p1nkp2/p7/4n3/3pP1pr/3P3P/PP2BK2/2R3NR w - - 0 24,h1h2,4,-221,40,f2g3,f2g2,3,27
sprt_game_1,24,40,White,7r/1p1nkp2/p7/4n3/3pP1pr/3P3P/PP2BK2/2R3NR w - - 0 24,b2b4,5,-279,98,f2g3,f2g2,3,27
sprt_game_1,24,40,White,7r/1p1nkp2/p7/4n3/3pP1pr/3P3P/PP2BK2/2R3NR w - - 0 24,c1c2,6,-282,101,f2g3,f2g2,3,27
sprt_game_1,24,40,White,7r/1p1nkp2/p7/4n3/3pP1pr/3P3P/PP2BK2/2R3NR w - - 0 24,e2f1,7,-299,118,f2g3,f2g2,3,27
sprt_game_1,24,40,White,7r/1p1nkp2/p7/4n3/3pP1pr/3P3P/PP2BK2/2R3NR w - - 0 24,b2b3,8,-302,121,f2g3,f2g2,3,27
sprt_game_1,24,40,White,7r/1p1nkp2/p7/4n3/3pP1pr/3P3P/PP2BK2/2R3NR w - - 0 24,a2a4,9,-306,125,f2g3,f2g2,3,27
sprt_game_1,24,40,White,7r/1p1nkp2/p7/4n3/3pP1pr/3P3P/PP2BK2/2R3NR w - - 0 24,a2a3,10,-309,128,f2g3,f2g2,3,27
sprt_game_1,24,40,White,7r/1p1nkp2/p7/4n3/3pP1pr/3P3P/PP2BK2/2R3NR w - - 0 24,f2e1,11,-329,148,f2g3,f2g2,3,27
sprt_game_1,24,40,White,7r/1p1nkp2/p7/4n3/3pP1pr/3P3P/PP2BK2/2R3NR w - - 0 24,c1f1,12,-334,153,f2g3,f2g2,3,27
sprt_game_1,24,40,White,7r/1p1nkp2/p7/4n3/3pP1pr/3P3P/PP2BK2/2R3NR w - - 0 24,c1d1,13,-336,155,f2g3,f2g2,3,27
sprt_game_1,24,40,White,7r/1p1nkp2/p7/4n3/3pP1pr/3P3P/PP2BK2/2R3NR w - - 0 24,c1b1,14,-357,176,f2g3,f2g2,3,27
sprt_game_1,24,40,White,7r/1p1nkp2/p7/4n3/3pP1pr/3P3P/PP2BK2/2R3NR w - - 0 24,c1e1,15,-371,190,f2g3,f2g2,3,27
sprt_game_1,24,40,White,7r/1p1nkp2/p7/4n3/3pP1pr/3P3P/PP2BK2/2R3NR w - - 0 24,c1a1,16,-376,195,f2g3,f2g2,3,27
sprt_game_1,24,40,White,7r/1p1nkp2/p7/4n3/3pP1pr/3P3P/PP2BK2/2R3NR w - - 0 24,f2f1,17,-383,202,f2g3,f2g2,3,27
sprt_game_1,24,40,White,7r/1p1nkp2/p7/4n3/3pP1pr/3P3P/PP2BK2/2R3NR w - - 0 24,e2g4,18,-472,291,f2g3,f2g2,3,27
sprt_game_1,24,40,White,7r/1p1nkp2/p7/4n3/3pP1pr/3P3P/PP2BK2/2R3NR w - - 0 24,h3g4,19,-530,349,f2g3,f2g2,3,27
sprt_game_1,24,40,White,7r/1p1nkp2/p7/4n3/3pP1pr/3P3P/PP2BK2/2R3NR w - - 0 24,g1f3,20,-548,367,f2g3,f2g2,3,27
sprt_game_1,24,40,White,7r/1p1nkp2/p7/4n3/3pP1pr/3P3P/PP2BK2/2R3NR w - - 0 24,c1c4,21,-551,370,f2g3,f2g2,3,27
sprt_game_1,24,40,White,7r/1p1nkp2/p7/4n3/3pP1pr/3P3P/PP2BK2/2R3NR w - - 0 24,c1c3,22,-566,385,f2g3,f2g2,3,27
sprt_game_1,24,40,White,7r/1p1nkp2/p7/4n3/3pP1pr/3P3P/PP2BK2/2R3NR w - - 0 24,e2f3,23,-640,459,f2g3,f2g2,3,27
sprt_game_1,24,40,White,7r/1p1nkp2/p7/4n3/3pP1pr/3P3P/PP2BK2/2R3NR w - - 0 24,c1c8,24,-665,484,f2g3,f2g2,3,27
sprt_game_1,24,40,White,7r/1p1nkp2/p7/4n3/3pP1pr/3P3P/PP2BK2/2R3NR w - - 0 24,e2d1,25,-672,491,f2g3,f2g2,3,27
sprt_game_1,24,40,White,7r/1p1nkp2/p7/4n3/3pP1pr/3P3P/PP2BK2/2R3NR w - - 0 24,c1c6,26,-687,506,f2g3,f2g2,3,27
sprt_game_1,24,40,White,7r/1p1nkp2/p7/4n3/3pP1pr/3P3P/PP2BK2/2R3NR w - - 0 24,c1c5,27,-728,547,f2g3,f2g2,3,27
sprt_game_1,26,44,White,7r/1p1n1p1r/p2k4/4n3/1P1pP1p1/3P2KP/P3B3/2R3NR w - - 1 26,h1h2,1,-176,0,c1f1,g3g2,3,27
sprt_game_1,26,44,White,7r/1p1n1p1r/p2k4/4n3/1P1pP1p1/3P2KP/P3B3/2R3NR w - - 1 26,g3g2,2,-182,6,c1f1,g3g2,3,27
sprt_game_1,26,44,White,7r/1p1n1p1r/p2k4/4n3/1P1pP1p1/3P2KP/P3B3/2R3NR w - - 1 26,c1f1,3,-185,9,c1f1,g3g2,3,27
sprt_game_1,26,44,White,7r/1p1n1p1r/p2k4/4n3/1P1pP1p1/3P2KP/P3B3/2R3NR w - - 1 26,e2f1,4,-255,79,c1f1,g3g2,3,27
sprt_game_1,26,44,White,7r/1p1n1p1r/p2k4/4n3/1P1pP1p1/3P2KP/P3B3/2R3NR w - - 1 26,h3h4,5,-262,86,c1f1,g3g2,3,27
sprt_game_1,26,44,White,7r/1p1n1p1r/p2k4/4n3/1P1pP1p1/3P2KP/P3B3/2R3NR w - - 1 26,a2a4,6,-263,87,c1f1,g3g2,3,27
sprt_game_1,26,44,White,7r/1p1n1p1r/p2k4/4n3/1P1pP1p1/3P2KP/P3B3/2R3NR w - - 1 26,b4b5,7,-267,91,c1f1,g3g2,3,27
sprt_game_1,26,44,White,7r/1p1n1p1r/p2k4/4n3/1P1pP1p1/3P2KP/P3B3/2R3NR w - - 1 26,a2a3,8,-270,94,c1f1,g3g2,3,27
sprt_game_1,26,44,White,7r/1p1n1p1r/p2k4/4n3/1P1pP1p1/3P2KP/P3B3/2R3NR w - - 1 26,g3h2,9,-275,99,c1f1,g3g2,3,27
sprt_game_1,26,44,White,7r/1p1n1p1r/p2k4/4n3/1P1pP1p1/3P2KP/P3B3/2R3NR w - - 1 26,c1c2,10,-279,103,c1f1,g3g2,3,27
sprt_game_1,26,44,White,7r/1p1n1p1r/p2k4/4n3/1P1pP1p1/3P2KP/P3B3/2R3NR w - - 1 26,c1d1,11,-285,109,c1f1,g3g2,3,27
sprt_game_1,26,44,White,7r/1p1n1p1r/p2k4/4n3/1P1pP1p1/3P2KP/P3B3/2R3NR w - - 1 26,c1a1,12,-288,112,c1f1,g3g2,3,27
sprt_game_1,26,44,White,7r/1p1n1p1r/p2k4/4n3/1P1pP1p1/3P2KP/P3B3/2R3NR w - - 1 26,c1b1,13,-293,117,c1f1,g3g2,3,27
sprt_game_1,26,44,White,7r/1p1n1p1r/p2k4/4n3/1P1pP1p1/3P2KP/P3B3/2R3NR w - - 1 26,c1e1,14,-298,122,c1f1,g3g2,3,27
sprt_game_1,26,44,White,7r/1p1n1p1r/p2k4/4n3/1P1pP1p1/3P2KP/P3B3/2R3NR w - - 1 26,g3f4,15,-326,150,c1f1,g3g2,3,27
sprt_game_1,26,44,White,7r/1p1n1p1r/p2k4/4n3/1P1pP1p1/3P2KP/P3B3/2R3NR w - - 1 26,g3f2,16,-336,160,c1f1,g3g2,3,27
sprt_game_1,26,44,White,7r/1p1n1p1r/p2k4/4n3/1P1pP1p1/3P2KP/P3B3/2R3NR w - - 1 26,e2d1,17,-360,184,c1f1,g3g2,3,27
sprt_game_1,26,44,White,7r/1p1n1p1r/p2k4/4n3/1P1pP1p1/3P2KP/P3B3/2R3NR w - - 1 26,e2g4,18,-404,228,c1f1,g3g2,3,27
sprt_game_1,26,44,White,7r/1p1n1p1r/p2k4/4n3/1P1pP1p1/3P2KP/P3B3/2R3NR w - - 1 26,c1c5,19,-429,253,c1f1,g3g2,3,27
sprt_game_1,26,44,White,7r/1p1n1p1r/p2k4/4n3/1P1pP1p1/3P2KP/P3B3/2R3NR w - - 1 26,c1c4,20,-451,275,c1f1,g3g2,3,27
sprt_game_1,26,44,White,7r/1p1n1p1r/p2k4/4n3/1P1pP1p1/3P2KP/P3B3/2R3NR w - - 1 26,h3g4,21,-534,358,c1f1,g3g2,3,27
sprt_game_1,26,44,White,7r/1p1n1p1r/p2k4/4n3/1P1pP1p1/3P2KP/P3B3/2R3NR w - - 1 26,c1c8,22,-617,441,c1f1,g3g2,3,27
sprt_game_1,26,44,White,7r/1p1n1p1r/p2k4/4n3/1P1pP1p1/3P2KP/P3B3/2R3NR w - - 1 26,c1c7,23,-634,458,c1f1,g3g2,3,27
sprt_game_1,26,44,White,7r/1p1n1p1r/p2k4/4n3/1P1pP1p1/3P2KP/P3B3/2R3NR w - - 1 26,e2f3,24,-642,466,c1f1,g3g2,3,27
sprt_game_1,26,44,White,7r/1p1n1p1r/p2k4/4n3/1P1pP1p1/3P2KP/P3B3/2R3NR w - - 1 26,g1f3,25,-651,475,c1f1,g3g2,3,27
sprt_game_1,26,44,White,7r/1p1n1p1r/p2k4/4n3/1P1pP1p1/3P2KP/P3B3/2R3NR w - - 1 26,c1c6,26,-659,483,c1f1,g3g2,3,27
sprt_game_1,26,44,White,7r/1p1n1p1r/p2k4/4n3/1P1pP1p1/3P2KP/P3B3/2R3NR w - - 1 26,c1c3,27,-678,502,c1f1,g3g2,3,27
sprt_game_1,33,58,White,6r1/1p3pr1/p4k2/8/1P1pP3/3n1N1P/P6K/7R w - - 0 33,e4e5,1,-711,0,h1f1,f3h4,3,19
sprt_game_1,33,58,White,6r1/1p3pr1/p4k2/8/1P1pP3/3n1N1P/P6K/7R w - - 0 33,f3h4,2,-741,30,h1f1,f3h4,3,19
sprt_game_1,33,58,White,6r1/1p3pr1/p4k2/8/1P1pP3/3n1N1P/P6K/7R w - - 0 33,h1f1,3,-773,62,h1f1,f3h4,3,19
sprt_game_1,33,58,White,6r1/1p3pr1/p4k2/8/1P1pP3/3n1N1P/P6K/7R w - - 0 33,f3e1,4,-830,119,h1f1,f3h4,3,19
sprt_game_1,33,58,White,6r1/1p3pr1/p4k2/8/1P1pP3/3n1N1P/P6K/7R w - - 0 33,f3g5,5,-906,195,h1f1,f3h4,3,19
