log,fullmove,ply,side,fen,move,rank,score_cp,gap_cp,target_oracle_moves,target_reference_moves,target_candidate_moves,target_worst_diff,target_hits
odonata-bot_vs_EnyoBot_u9u9wyRV_oot.log,27,53,Black,4r1k1/5pp1/2bb3p/3p4/p2P4/2P1N2P/1q1B1PP1/1R1Q2K1 b - - 1 27,e8e3,12,-445,516,b2a2;b2a2,b2a2;b2a2,b2c2;b2a3,-613,2
odonata-bot_vs_EnyoBot_u9u9wyRV_oot.log,27,53,Black,4r1k1/5pp1/2bb3p/3p4/p2P4/2P1N2P/1q1B1PP1/1R1Q2K1 b - - 1 27,b2d2,13,-490,561,b2a2;b2a2,b2a2;b2a2,b2c2;b2a3,-613,2
odonata-bot_vs_EnyoBot_u9u9wyRV_oot.log,27,53,Black,4r1k1/5pp1/2bb3p/3p4/p2P4/2P1N2P/1q1B1PP1/1R1Q2K1 b - - 1 27,e8a8,14,-509,580,b2a2;b2a2,b2a2;b2a2,b2c2;b2a3,-613,2
odonata-bot_vs_EnyoBot_u9u9wyRV_oot.log,27,53,Black,4r1k1/5pp1/2bb3p/3p4/p2P4/2P1N2P/1q1B1PP1/1R1Q2K1 b - - 1 27,g8h8,15,-522,593,b2a2;b2a2,b2a2;b2a2,b2c2;b2a3,-613,2
odonata-bot_vs_EnyoBot_u9u9wyRV_oot.log,27,53,Black,4r1k1/5pp1/2bb3p/3p4/p2P4/2P1N2P/1q1B1PP1/1R1Q2K1 b - - 1 27,b2c3,16,-527,598,b2a2;b2a2,b2a2;b2a2,b2c2;b2a3,-613,2
odonata-bot_vs_EnyoBot_u9u9wyRV_oot.log,27,53,Black,4r1k1/5pp1/2bb3p/3p4/p2P4/2P1N2P/1q1B1PP1/1R1Q2K1 b - - 1 27,e8f8,17,-534,605,b2a2;b2a2,b2a2;b2a2,b2c2;b2a3,-613,2
odonata-bot_vs_EnyoBot_u9u9wyRV_oot.log,27,53,Black,4r1k1/5pp1/2bb3p/3p4/p2P4/2P1N2P/1q1B1PP1/1R1Q2K1 b - - 1 27,g8h7,18,-537,608,b2a2;b2a2,b2a2;b2a2,b2c2;b2a3,-613,2
odonata-bot_vs_EnyoBot_u9u9wyRV_oot.log,27,53,Black,4r1k1/5pp1/2bb3p/3p4/p2P4/2P1N2P/1q1B1PP1/1R1Q2K1 b - - 1 27,e8d8,19,-544,615,b2a2;b2a2,b2a2;b2a2,b2c2;b2a3,-613,2
odonata-bot_vs_EnyoBot_u9u9wyRV_oot.log,27,53,Black,4r1k1/5pp1/2bb3p/3p4/p2P4/2P1N2P/1q1B1PP1/1R1Q2K1 b - - 1 27,g7g6,20,-545,616,b2a2;b2a2,b2a2;b2a2,b2c2;b2a3,-613,2
odonata-bot_vs_EnyoBot_u9u9wyRV_oot.log,27,53,Black,4r1k1/5pp1/2bb3p/3p4/p2P4/2P1N2P/1q1B1PP1/1R1Q2K1 b - - 1 27,e8c8,21,-547,618,b2a2;b2a2,b2a2;b2a2,b2c2;b2a3,-613,2
odonata-bot_vs_EnyoBot_u9u9wyRV_oot.log,27,53,Black,4r1k1/5pp1/2bb3p/3p4/p2P4/2P1N2P/1q1B1PP1/1R1Q2K1 b - - 1 27,g7g5,22,-547,618,b2a2;b2a2,b2a2;b2a2,b2c2;b2a3,-613,2
odonata-bot_vs_EnyoBot_u9u9wyRV_oot.log,27,53,Black,4r1k1/5pp1/2bb3p/3p4/p2P4/2P1N2P/1q1B1PP1/1R1Q2K1 b - - 1 27,f7f5,23,-547,618,b2a2;b2a2,b2a2;b2a2,b2c2;b2a3,-613,2
odonata-bot_vs_EnyoBot_u9u9wyRV_oot.log,27,53,Black,4r1k1/5pp1/2bb3p/3p4/p2P4/2P1N2P/1q1B1PP1/1R1Q2K1 b - - 1 27,c6b5,24,-550,621,b2a2;b2a2,b2a2;b2a2,b2c2;b2a3,-613,2
