log,fullmove,ply,side,fen,move,rank,score_cp,gap_cp,target_oracle_moves,target_reference_moves,target_candidate_moves,target_worst_diff,target_hits
ArasanX_vs_EnyoBot_Q0a5I19l.log,40,79,Black,6k1/5bp1/1pR3n1/p2p1N1Q/q2Nr2P/8/6PK/8 b - - 0 40,e4e1,20,-513,395,a4b4;a4b4;a4b4;a4b4,a4b4;a4b4;a4b4;a4b4,e4h4;e4h4;g6e7;e4h4,-287,4
ArasanX_vs_EnyoBot_Q0a5I19l.log,40,79,Black,6k1/5bp1/1pR3n1/p2p1N1Q/q2Nr2P/8/6PK/8 b - - 0 40,e4e7,21,-523,405,a4b4;a4b4;a4b4;a4b4,a4b4;a4b4;a4b4;a4b4,e4h4;e4h4;g6e7;e4h4,-287,4
ArasanX_vs_EnyoBot_Q0a5I19l.log,40,79,Black,6k1/5bp1/1pR3n1/p2p1N1Q/q2Nr2P/8/6PK/8 b - - 0 40,e4e3,22,-547,429,a4b4;a4b4;a4b4;a4b4,a4b4;a4b4;a4b4;a4b4,e4h4;e4h4;g6e7;e4h4,-287,4
ArasanX_vs_EnyoBot_Q0a5I19l.log,40,79,Black,6k1/5bp1/1pR3n1/p2p1N1Q/q2Nr2P/8/6PK/8 b - - 0 40,a4c4,23,-555,437,a4b4;a4b4;a4b4;a4b4,a4b4;a4b4;a4b4;a4b4,e4h4;e4h4;g6e7;e4h4,-287,4
ArasanX_vs_EnyoBot_Q0a5I19l.log,40,79,Black,6k1/5bp1/1pR3n1/p2p1N1Q/q2Nr2P/8/6PK/8 b - - 0 40,e4f4,24,-628,510,a4b4;a4b4;a4b4;a4b4,a4b4;a4b4;a4b4;a4b4,e4h4;e4h4;g6e7;e4h4,-287,4
ArasanX_vs_EnyoBot_Q0a5I19l.log,40,79,Black,6k1/5bp1/1pR3n1/p2p1N1Q/q2Nr2P/8/6PK/8 b - - 0 40,a4a2,25,-718,600,a4b4;a4b4;a4b4;a4b4,a4b4;a4b4;a4b4;a4b4,e4h4;e4h4;g6e7;e4h4,-287,4
ArasanX_vs_EnyoBot_Q0a5I19l.log,40,79,Black,6k1/5bp1/1pR3n1/p2p1N1Q/q2Nr2P/8/6PK/8 b - - 0 40,a4d1,26,-768,650,a4b4;a4b4;a4b4;a4b4,a4b4;a4b4;a4b4;a4b4,e4h4;e4h4;g6e7;e4h4,-287,4
ArasanX_vs_EnyoBot_Q0a5I19l.log,40,79,Black,6k1/5bp1/1pR3n1/p2p1N1Q/q2Nr2P/8/6PK/8 b - - 0 40,a4b3,27,-769,651,a4b4;a4b4;a4b4;a4b4,a4b4;a4b4;a4b4;a4b4,e4h4;e4h4;g6e7;e4h4,-287,4
ArasanX_vs_EnyoBot_Q0a5I19l.log,40,79,Black,6k1/5bp1/1pR3n1/p2p1N1Q/q2Nr2P/8/6PK/8 b - - 0 40,a4b5,28,-783,665,a4b4;a4b4;a4b4;a4b4,a4b4;a4b4;a4b4;a4b4,e4h4;e4h4;g6e7;e4h4,-287,4
ArasanX_vs_EnyoBot_Q0a5I19l.log,40,79,Black,6k1/5bp1/1pR3n1/p2p1N1Q/q2Nr2P/8/6PK/8 b - - 0 40,e4e2,29,-796,678,a4b4;a4b4;a4b4;a4b4,a4b4;a4b4;a4b4;a4b4,e4h4;e4h4;g6e7;e4h4,-287,4
ArasanX_vs_EnyoBot_Q0a5I19l.log,40,79,Black,6k1/5bp1/1pR3n1/p2p1N1Q/q2Nr2P/8/6PK/8 b - - 0 40,a4c2,30,-826,708,a4b4;a4b4;a4b4;a4b4,a4b4;a4b4;a4b4;a4b4,e4h4;e4h4;g6e7;e4h4,-287,4
ArasanX_vs_EnyoBot_Q0a5I19l.log,40,79,Black,6k1/5bp1/1pR3n1/p2p1N1Q/q2Nr2P/8/6PK/8 b - - 0 40,g6e5,31,-903,785,a4b4;a4b4;a4b4;a4b4,a4b4;a4b4;a4b4;a4b4,e4h4;e4h4;g6e7;e4h4,-287,4
ArasanX_vs_EnyoBot_Q0a5I19l.log,40,79,Black,6k1/5bp1/1pR3n1/p2p1N1Q/q2Nr2P/8/6PK/8 b - - 0 40,e4g4,32,-968,850,a4b4;a4b4;a4b4;a4b4,a4b4;a4b4;a4b4;a4b4,e4h4;e4h4;g6e7;e4h4,-287,4
